name;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Drake - God's Plan;0.754;0.449;7.0;-9.211;1.0;0.109;0.0332;0.0000829;0.552;0.357;77.169;198973.0;4.0
XXXTENTACION - SAD!;0.74;0.613;8.0;-4.88;1.0;0.145;0.258;0.00372;0.123;0.473;75.023;166606.0;4.0
Post Malone - rockstar (feat. 21 Savage);0.587;0.535;5.0;-6.09;0.0;0.0898;0.117;0.0000656;0.131;0.14;159.847;218147.0;4.0
Post Malone - Psycho (feat. Ty Dolla $ign);0.739;0.559;8.0;-8.011;1.0;0.117;0.58;0.0;0.112;0.439;140.124;221440.0;4.0
Drake - In My Feelings;0.835;0.626;1.0;-5.833;1.0;0.125;0.0589;0.00006;0.396;0.35;91.03;217925.0;4.0
Post Malone - Better Now;0.68;0.563;10.0;-5.843;1.0;0.0454;0.354;0.0;0.136;0.374;145.028;231267.0;4.0
Cardi B - I Like It;0.816;0.726;5.0;-3.998;0.0;0.129;0.099;0.0;0.372;0.65;136.048;253390.0;4.0
Calvin Harris - One Kiss (with Dua Lipa);0.791;0.862;9.0;-3.24;0.0;0.11;0.037;0.0000219;0.0814;0.592;123.994;214847.0;4.0
Dua Lipa - IDGAF;0.836;0.544;7.0;-5.975;1.0;0.0943;0.0403;0.0;0.0824;0.51;97.028;217947.0;4.0
Marshmello - FRIENDS;0.626;0.88;9.0;-2.384;0.0;0.0504;0.205;0.0;0.128;0.534;95.079;202621.0;4.0
Camila Cabello - Havana;0.765;0.523;2.0;-4.333;1.0;0.03;0.184;0.0000356;0.132;0.394;104.988;217307.0;4.0
Juice WRLD - Lucid Dreams;0.511;0.566;6.0;-7.23;0.0;0.2;0.349;0.0;0.34;0.218;83.903;239836.0;4.0
Drake - Nice For What;0.586;0.909;8.0;-6.474;1.0;0.0705;0.0891;0.000109;0.119;0.757;93.394;210747.0;4.0
Maroon 5 - Girls Like You (feat. Cardi B);0.851;0.541;0.0;-6.825;1.0;0.0505;0.568;0.0;0.13;0.448;124.959;235545.0;4.0
Zedd - The Middle;0.753;0.657;7.0;-3.061;1.0;0.0449;0.171;0.0;0.112;0.437;107.01;184732.0;4.0
Kendrick Lamar - All The Stars (with SZA);0.698;0.633;8.0;-4.946;1.0;0.0597;0.0605;0.000194;0.0926;0.552;96.924;232187.0;4.0
Ariana Grande - no tears left to cry;0.699;0.713;9.0;-5.507;0.0;0.0594;0.04;0.00000311;0.294;0.354;121.993;205920.0;4.0
Nicky Jam - X;0.595;0.773;9.0;-4.736;0.0;0.0549;0.0364;0.00108;0.334;0.711;180.073;173628.0;4.0
XXXTENTACION - Moonlight;0.921;0.537;9.0;-5.723;0.0;0.0804;0.556;0.00404;0.102;0.711;128.009;135090.0;4.0
BlocBoy JB - Look Alive (feat. Drake);0.922;0.581;10.0;-7.495;1.0;0.27;0.00104;0.0000586;0.105;0.595;140.022;181263.0;4.0
Rudimental - These Days (feat. Jess Glynne, Macklemore & Dan Caplen);0.653;0.809;0.0;-4.057;1.0;0.0474;0.194;0.0;0.165;0.55;92.213;210773.0;4.0
Nio Garcia - Te Bot? - Remix;0.903;0.675;11.0;-3.445;0.0;0.214;0.542;0.0000128;0.0595;0.442;96.507;417920.0;4.0
Bazzi - Mine;0.71;0.789;4.0;-3.874;1.0;0.0722;0.0161;0.00000277;0.451;0.717;142.929;131064.0;4.0
5 Seconds of Summer - Youngblood;0.596;0.854;7.0;-5.114;0.0;0.463;0.0169;0.0;0.124;0.152;120.274;203418.0;4.0
Dua Lipa - New Rules;0.762;0.7;9.0;-6.021;0.0;0.0694;0.00261;0.0000156;0.153;0.608;116.073;209320.0;4.0
Ed Sheeran - Shape of You;0.825;0.652;1.0;-3.183;0.0;0.0802;0.581;0.0;0.0931;0.931;95.977;233713.0;4.0
Khalid - Love Lies (with Normani);0.708;0.648;6.0;-5.626;1.0;0.0449;0.0956;0.0;0.134;0.338;143.955;201707.0;4.0
Bebe Rexha - Meant to Be (feat. Florida Georgia Line);0.642;0.772;10.0;-6.61;1.0;0.0848;0.0476;0.0;0.0646;0.589;153.995;164205.0;4.0
XXXTENTACION - Jocelyn Flores;0.872;0.391;0.0;-9.144;0.0;0.242;0.469;0.00000413;0.297;0.437;134.021;119133.0;4.0
